Sample	posterior	likelihood	prior	treeLikelihood.file26fb33ceae2a	TreeHeight	rateAC	rateAG	rateAT	rateCG	rateGT	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-787.9289333113478	-755.8350440546642	-32.09388925668359	-755.8350440546642	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.18638252706495476	0.05840661983287535	9.92228760030315E-5	0.16072947416753522	-22.21581170179033	0.044182240565280965	0.7981816706075162	5.371854119230048	15.001110821881804	
1	-787.9289333113478	-755.8350440546642	-32.09388925668359	-755.8350440546642	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.18638252706495476	0.05840661983287535	9.92228760030315E-5	0.16072947416753522	-22.21581170179033	0.044182240565280965	0.7981816706075162	5.371854119230048	15.001110821881804	
2	-787.1844466120814	-755.5035574910565	-31.680889121024823	-755.5035574910565	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.14864795972154546	0.05601544551451372	7.444736606876323E-5	0.15243800874828403	-22.005770864082404	0.037057345299528394	0.7206427564663606	5.371854119230048	15.001110821881804	
3	-787.1844466120814	-755.5035574910565	-31.680889121024823	-755.5035574910565	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.14864795972154546	0.05601544551451372	7.444736606876323E-5	0.15243800874828403	-22.005770864082404	0.037057345299528394	0.7206427564663606	5.371854119230048	15.001110821881804	
4	-786.1270601443632	-754.882101089515	-31.24495905484821	-754.882101089515	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.06613278774365251	0.059011619675344254	1.3996547467609056E-5	0.0632859702410412	-22.1587910665867	0.06922786650921622	0.6106062587026855	5.371854119230048	15.001110821881804	
5	-786.1270601443632	-754.882101089515	-31.24495905484821	-754.882101089515	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.06613278774365251	0.059011619675344254	1.3996547467609056E-5	0.0632859702410412	-22.1587910665867	0.06922786650921622	0.6106062587026855	5.371854119230048	15.001110821881804	
6	-786.1270601443632	-754.882101089515	-31.24495905484821	-754.882101089515	15.001110821881804	0.5598487203561351	1.1887386984725266	1.1438001169140837	0.9627246961380107	0.972684033087097	0.23055873062315577	0.22741789681166374	0.2750793572608013	0.2669440153043792	0.058879422517193	0.06613278774365251	0.059011619675344254	1.3996547467609056E-5	0.0632859702410412	-22.1587910665867	0.06922786650921622	0.6106062587026855	5.371854119230048	15.001110821881804	
7	-785.1851574190549	-753.9026727335579	-31.282484685497046	-753.9026727335579	15.001110821881804	0.7811510727946678	0.6363148676903971	1.1325889516282674	0.9627246961380107	0.972684033087097	0.23055873062315577	0.23559067081340662	0.2669065832590584	0.2669440153043792	0.04687669859340726	0.0552406982968344	0.04801156356511216	6.045305257802546E-6	0.05179416527580464	-22.60092283258944	0.07479747081741725	0.6556214469762867	5.371854119230048	15.001110821881804	
8	-783.1261559001973	-752.7924086678265	-30.333747232370825	-752.7924086678265	15.001110821881804	0.8224129017756369	0.6363148676903971	1.1325889516282674	0.9627246961380107	0.9045706711092784	0.23055873062315577	0.23559067081340662	0.2669065832590584	0.2669440153043792	0.05340277450507968	0.0329424895518839	0.05236769234010619	4.3213798457637225E-6	0.03951433139814438	-21.971324335834115	0.07853873468702217	0.6335471646332664	5.371854119230048	15.001110821881804	
9	-781.2587644844307	-751.0719872377817	-30.186777246649	-751.0719872377817	15.001110821881804	1.2361036912610244	0.6363148676903971	0.6392566887551533	0.9627246961380107	0.9045706711092784	0.23055873062315577	0.23559067081340662	0.2669065832590584	0.2669440153043792	0.05340277450507968	0.019213084145995922	0.053440744909683854	8.424867598537411E-7	0.01723777718105484	-22.272757909076716	0.052330591698777684	0.5305562997764589	5.371854119230048	15.001110821881804	
