Sample	posterior	likelihood	prior	treeLikelihood.file53c54680e14b	TreeHeight	ucldMean	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	
0	-752.3209196503766	-725.081546527832	-27.239373122544688	-725.081546527832	14.994533467551742	0.14453972280940464	0.0646375756029083	0.15295455813152023	1.0273723951847981E-4	0.06785759539216758	-19.399568258805168	0.0754272107872625	0.46782625668717104	-8.952671758152	14.994533467551742	
1	-730.0562608253445	-714.8822524575255	-15.174008367818985	-714.8822524575255	14.997637498510516	0.14193790777497034	0.11412526066859809	0.13951132282785877	2.22983992057665E-4	0.10460619765026725	-19.09366479864202	0.10797398665314945	0.9398896973517246	3.1981101018695575	14.997637498510516	
2	-730.0562608253445	-714.8822524575255	-15.174008367818985	-714.8822524575255	14.997637498510516	0.14193790777497034	0.11412526066859809	0.13951132282785877	2.22983992057665E-4	0.10460619765026725	-19.09366479864202	0.10797398665314945	0.9398896973517246	3.1981101018695575	14.997637498510516	
3	-727.5653256043404	-712.0228652876021	-15.54246031673823	-712.0228652876021	14.997637498510516	0.12833739436853023	0.16750372163184732	0.13781644654174602	6.551228112800146E-4	0.1997507096310577	-19.145686368268883	0.1684705997315802	0.5712697768903767	3.1981101018695575	14.997637498510516	
4	-727.5653256043404	-712.0228652876021	-15.54246031673823	-712.0228652876021	14.997637498510516	0.12833739436853023	0.16750372163184732	0.13781644654174602	6.551228112800146E-4	0.1997507096310577	-19.145686368268883	0.1684705997315802	0.5712697768903767	3.1981101018695575	14.997637498510516	
5	-726.9219495055614	-711.3986383473705	-15.523311158190925	-711.3986383473705	14.997637498510516	0.10910075768215616	0.06495187716853147	0.11233386609929243	7.147373087489496E-5	0.07704989306157929	-19.831231880709886	0.11011887542931566	0.3539226951377783	3.1981101018695575	14.997637498510516	
6	-728.9657350926111	-711.2875625946135	-17.678172497997643	-711.2875625946135	14.997637498510516	0.10781967674864408	0.3240147120268005	0.09409753684873215	3.554205803676241E-4	0.1919399283513496	-20.567812376254558	0.13695325692302304	0.4394843965397609	3.1981101018695575	14.997637498510516	
7	-727.9353399539984	-710.4970640116404	-17.43827594235799	-710.4970640116404	14.997637498510516	0.10781967674864408	0.5917170510806828	0.07659450407687735	0.00388616872315393	0.6003340694313921	-19.3496697236704	0.1015619176385362	0.7200915010430691	3.1981101018695575	14.997637498510516	
8	-728.1827564964276	-708.4275675772393	-19.755188919188324	-708.4275675772393	14.997637498510516	0.0912840461316814	0.8351600532841543	0.06068818505296611	0.0013393111940912213	0.5155195195233453	-20.870479026663986	0.1031427098105968	0.5627099286272406	3.1981101018695575	14.997637498510516	
9	-726.3607072696517	-706.4448056678352	-19.915901601816437	-706.4448056678352	14.997637498510516	0.10196635738784111	0.911226590863382	0.06790725068100235	0.002752791981412956	0.6972450183036394	-20.79188026396081	0.07102018546177295	0.6919004182110156	3.1981101018695575	14.997637498510516	
10	-725.2220484710479	-702.7398024545872	-22.48224601646066	-702.7398024545872	14.997637498510516	0.05603436860111403	1.0252252087452938	0.05895348555247549	6.928417707291631E-4	0.5249638266530564	-23.005450729486903	0.025969732841590116	0.9537704944732929	3.1981101018695575	14.997637498510516	
11	-725.2220484710479	-702.7398024545872	-22.48224601646066	-702.7398024545872	14.997637498510516	0.05603436860111403	1.0252252087452938	0.05895348555247549	6.928417707291631E-4	0.5249638266530564	-23.005450729486903	0.025969732841590116	0.9537704944732929	3.1981101018695575	14.997637498510516	
