"","folder","ess_likelihood","tree","best_or_gen"
"1","data/0.2-0-1-0.1/1",901,"true","gen"
"2","data/0.2-0-1-0.1/1",901,"true","best"
"3","data/0.2-0-1-0.1/1",798,"twin","gen"
"4","data/0.2-0-1-0.1/1",829,"twin","best"
"5","data/0.2-0-1-0.1/10",901,"true","gen"
"6","data/0.2-0-1-0.1/10",140,"true","best"
"7","data/0.2-0-1-0.1/10",819,"twin","gen"
"8","data/0.2-0-1-0.1/10",901,"twin","best"
"9","data/0.2-0-1-0.1/2",901,"true","gen"
"10","data/0.2-0-1-0.1/2",161,"true","best"
"11","data/0.2-0-1-0.1/2",790,"twin","gen"
"12","data/0.2-0-1-0.1/2",901,"twin","best"
"13","data/0.2-0-1-0.1/3",38,"true","gen"
"14","data/0.2-0-1-0.1/3",659,"true","best"
"15","data/0.2-0-1-0.1/3",780,"twin","gen"
"16","data/0.2-0-1-0.1/3",901,"twin","best"
"17","data/0.2-0-1-0.1/4",7,"true","gen"
"18","data/0.2-0-1-0.1/4",512,"true","best"
"19","data/0.2-0-1-0.1/4",639,"twin","gen"
"20","data/0.2-0-1-0.1/4",653,"twin","best"
"21","data/0.2-0-1-0.1/5",592,"true","gen"
"22","data/0.2-0-1-0.1/5",856,"true","best"
"23","data/0.2-0-1-0.1/5",744,"twin","gen"
"24","data/0.2-0-1-0.1/5",901,"twin","best"
"25","data/0.2-0-1-0.1/6",770,"true","gen"
"26","data/0.2-0-1-0.1/6",390,"true","best"
"27","data/0.2-0-1-0.1/6",522,"twin","gen"
"28","data/0.2-0-1-0.1/6",32,"twin","best"
"29","data/0.2-0-1-0.1/7",28,"true","gen"
"30","data/0.2-0-1-0.1/7",749,"true","best"
"31","data/0.2-0-1-0.1/7",753,"twin","gen"
"32","data/0.2-0-1-0.1/7",477,"twin","best"
"33","data/0.2-0-1-0.1/8",16,"true","gen"
"34","data/0.2-0-1-0.1/8",707,"true","best"
"35","data/0.2-0-1-0.1/8",7,"twin","gen"
"36","data/0.2-0-1-0.1/8",876,"twin","best"
"37","data/0.2-0-1-0.1/9",851,"true","gen"
"38","data/0.2-0-1-0.1/9",169,"true","best"
"39","data/0.2-0-1-0.1/9",901,"twin","gen"
"40","data/0.2-0-1-0.1/9",830,"twin","best"
"41","data/0.2-0-1-0.15/81",741,"true","gen"
"42","data/0.2-0-1-0.15/81",901,"true","best"
"43","data/0.2-0-1-0.15/81",899,"twin","gen"
"44","data/0.2-0-1-0.15/81",13,"twin","best"
"45","data/0.2-0-1-0.15/82",901,"true","gen"
"46","data/0.2-0-1-0.15/82",115,"true","best"
"47","data/0.2-0-1-0.15/82",901,"twin","gen"
"48","data/0.2-0-1-0.15/82",901,"twin","best"
"49","data/0.2-0-1-0.15/83",693,"true","gen"
"50","data/0.2-0-1-0.15/83",840,"true","best"
"51","data/0.2-0-1-0.15/83",901,"twin","gen"
"52","data/0.2-0-1-0.15/83",881,"twin","best"
"53","data/0.2-0-1-0.15/84",781,"true","gen"
"54","data/0.2-0-1-0.15/84",254,"true","best"
"55","data/0.2-0-1-0.15/84",851,"twin","gen"
"56","data/0.2-0-1-0.15/84",901,"twin","best"
"57","data/0.2-0-1-0.15/85",901,"true","gen"
"58","data/0.2-0-1-0.15/85",901,"true","best"
"59","data/0.2-0-1-0.15/85",901,"twin","gen"
"60","data/0.2-0-1-0.15/85",901,"twin","best"
"61","data/0.2-0-1-0.15/86",101,"true","gen"
"62","data/0.2-0-1-0.15/86",605,"true","best"
"63","data/0.2-0-1-0.15/86",707,"twin","gen"
"64","data/0.2-0-1-0.15/86",218,"twin","best"
"65","data/0.2-0-1-0.15/87",877,"true","gen"
"66","data/0.2-0-1-0.15/87",22,"true","best"
"67","data/0.2-0-1-0.15/87",854,"twin","gen"
"68","data/0.2-0-1-0.15/87",789,"twin","best"
"69","data/0.2-0-1-0.15/88",901,"true","gen"
"70","data/0.2-0-1-0.15/88",263,"true","best"
"71","data/0.2-0-1-0.15/88",793,"twin","gen"
"72","data/0.2-0-1-0.15/88",794,"twin","best"
"73","data/0.2-0-1-0.15/89",5,"true","gen"
"74","data/0.2-0-1-0.15/89",63,"true","best"
"75","data/0.2-0-1-0.15/89",34,"twin","gen"
"76","data/0.2-0-1-0.15/89",215,"twin","best"
"77","data/0.2-0-1-0.15/90",874,"true","gen"
"78","data/0.2-0-1-0.15/90",755,"true","best"
"79","data/0.2-0-1-0.15/90",603,"twin","gen"
"80","data/0.2-0-1-0.15/90",580,"twin","best"
"81","data/0.2-0-1-0.2/161",371,"true","gen"
"82","data/0.2-0-1-0.2/161",427,"true","best"
"83","data/0.2-0-1-0.2/161",432,"twin","gen"
"84","data/0.2-0-1-0.2/161",767,"twin","best"
"85","data/0.2-0-1-0.2/162",875,"true","gen"
"86","data/0.2-0-1-0.2/162",791,"true","best"
"87","data/0.2-0-1-0.2/162",27,"twin","gen"
"88","data/0.2-0-1-0.2/162",7,"twin","best"
"89","data/0.2-0-1-0.2/163",723,"true","gen"
"90","data/0.2-0-1-0.2/163",166,"true","best"
"91","data/0.2-0-1-0.2/163",609,"twin","gen"
"92","data/0.2-0-1-0.2/163",183,"twin","best"
