"","folder","n_taxa"
"1","data/0.2-0-1-0.1/1",7
"2","data/0.2-0-1-0.1/2",7
"3","data/0.2-0-1-0.15/17",4
"4","data/0.2-0-1-0.15/18",5
"5","data/0.2-0-1-0.2/33",11
"6","data/0.2-0-1-0.2/34",7
"7","data/0.2-0-1.5-0.1/5",10
"8","data/0.2-0-1.5-0.1/6",22
"9","data/0.2-0-1.5-0.15/21",18
"10","data/0.2-0-1.5-0.15/22",33
"11","data/0.2-0-1.5-0.2/37",11
"12","data/0.2-0-1.5-0.2/38",8
"13","data/0.2-0-2-0.1/10",11
"14","data/0.2-0-2-0.1/9",14
"15","data/0.2-0-2-0.15/25",4
"16","data/0.2-0-2-0.15/26",46
"17","data/0.2-0-2-0.2/41",46
"18","data/0.2-0-2-0.2/42",141
"19","data/0.2-0-2.5-0.1/13",10
"20","data/0.2-0-2.5-0.1/14",63
"21","data/0.2-0-2.5-0.15/29",18
"22","data/0.2-0-2.5-0.15/30",5
"23","data/0.2-0-2.5-0.2/45",14
"24","data/0.2-0-2.5-0.2/46",30
"25","data/0.2-0.15-1-0.1/3",9
"26","data/0.2-0.15-1-0.1/4",3
"27","data/0.2-0.15-1-0.15/19",8
"28","data/0.2-0.15-1-0.15/20",6
"29","data/0.2-0.15-1-0.2/35",9
"30","data/0.2-0.15-1-0.2/36",15
"31","data/0.2-0.15-1.5-0.1/7",9
"32","data/0.2-0.15-1.5-0.1/8",12
"33","data/0.2-0.15-1.5-0.15/23",3
"34","data/0.2-0.15-1.5-0.15/24",15
"35","data/0.2-0.15-1.5-0.2/39",5
"36","data/0.2-0.15-1.5-0.2/40",9
"37","data/0.2-0.15-2-0.1/11",5
"38","data/0.2-0.15-2-0.1/12",5
"39","data/0.2-0.15-2-0.15/27",23
"40","data/0.2-0.15-2-0.15/28",20
"41","data/0.2-0.15-2-0.2/43",14
"42","data/0.2-0.15-2-0.2/44",4
"43","data/0.2-0.15-2.5-0.1/15",4
"44","data/0.2-0.15-2.5-0.1/16",2
"45","data/0.2-0.15-2.5-0.15/31",46
"46","data/0.2-0.15-2.5-0.15/32",20
"47","data/0.2-0.15-2.5-0.2/47",26
"48","data/0.2-0.15-2.5-0.2/48",31
