"","folder","site_model","clock_model","tree_prior","tree","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","data/0.2-0-1-0.1/1","JC69","strict","birth_death","twin",-9620.34246162553,6.23210775221716,0.172944530473483,5.55756272761694
"2","data/0.2-0-1-0.1/1","JC69","strict","yule","twin",-9618.77756334557,6.42823080436516,0.827053339025092,6.77927065393714
"3","data/0.2-0-1-0.1/1","HKY","strict","yule","twin",-9631.64694490972,6.05489568108056,2.13025758593867e-06,10.4716184399284
"4","data/0.2-0-1-0.1/1","HKY","strict","birth_death","twin",-9640.72219022877,8.24063773236603,2.43838993234484e-10,4.74361130964188
"5","data/0.2-0-1-0.1/1","JC69","strict","birth_death","true",-9200.81024884545,5.96147509507272,0.000569836039556967,7.45134715779792
"6","data/0.2-0-1-0.1/1","JC69","strict","yule","true",-9193.34065695551,5.72988238723429,0.999430163944877,5.3403761928919
"7","data/0.2-0-1-0.1/1","HKY","strict","yule","true",-9218.81269508869,7.48566361672367,8.65738734051138e-12,8.15874459270639
"8","data/0.2-0-1-0.1/1","HKY","strict","birth_death","true",-9219.03839159931,7.36802585741297,6.90825085733378e-12,8.54273839454059
"9","data/0.2-0-1-0.1/2","JC69","strict","birth_death","twin",-8831.59118016437,6.99307076956248,0.999999929446701,6.9976698710632
"10","data/0.2-0-1-0.1/2","JC69","strict","yule","twin",-8848.22623111265,7.66352408033887,5.96333402669143e-08,6.01885186817466
"11","data/0.2-0-1-0.1/2","HKY","strict","yule","twin",-8852.93626904857,7.3515274818062,5.36964594971024e-10,6.71493465357453
"12","data/0.2-0-1-0.1/2","HKY","strict","birth_death","twin",-8849.97427666819,7.27428726176096,1.03829938662672e-08,6.51334130054004
"13","data/0.2-0-1-0.1/2","JC69","strict","birth_death","true",-8098.5209517956,8.08986113426695,0.000324485441316128,5.6752890095476
"14","data/0.2-0-1-0.1/2","JC69","strict","yule","true",-8090.48816583162,5.91935482509663,0.999516193252374,7.12196603340702
"15","data/0.2-0-1-0.1/2","HKY","strict","yule","true",-8099.23289052227,7.3578968842306,0.000159222396252243,13.7869175963367
"16","data/0.2-0-1-0.1/2","HKY","strict","birth_death","true",-8106.61673681331,7.88430447859042,9.89100579299852e-08,5.81184880249188
"17","data/0.2-0-1-0.15/17","JC69","strict","birth_death","twin",-7894.80185657405,5.57517476481446,0.999993744963906,11.3954164530764
"18","data/0.2-0-1-0.15/17","JC69","strict","yule","twin",-7906.788030745,7.22866655177905,6.22971217543874e-06,10.2093337846441
