"","folder","lambda","mu","nu","q","cond","crown_age","seed"
"1","data/0.2-0-0-0/1",0.2,0,0,0,1,8,1
"2","data/0.2-0-0-0/2",0.2,0,0,0,1,8,2
"3","data/0.2-0-0.5-0.1/5",0.2,0,0.5,0.1,1,8,5
"4","data/0.2-0-0.5-0.1/6",0.2,0,0.5,0.1,1,8,6
"5","data/0.2-0-0.5-0.15/17",0.2,0,0.5,0.15,1,8,17
"6","data/0.2-0-0.5-0.15/18",0.2,0,0.5,0.15,1,8,18
"7","data/0.2-0-0.5-0.2/29",0.2,0,0.5,0.2,1,8,29
"8","data/0.2-0-0.5-0.2/30",0.2,0,0.5,0.2,1,8,30
"9","data/0.2-0-1-0.1/10",0.2,0,1,0.1,1,8,10
"10","data/0.2-0-1-0.1/9",0.2,0,1,0.1,1,8,9
"11","data/0.2-0-1-0.15/21",0.2,0,1,0.15,1,8,21
"12","data/0.2-0-1-0.15/22",0.2,0,1,0.15,1,8,22
"13","data/0.2-0-1-0.2/33",0.2,0,1,0.2,1,8,33
"14","data/0.2-0-1-0.2/34",0.2,0,1,0.2,1,8,34
"15","data/0.2-0-1.5-0.1/13",0.2,0,1.5,0.1,1,8,13
"16","data/0.2-0-1.5-0.1/14",0.2,0,1.5,0.1,1,8,14
"17","data/0.2-0-1.5-0.15/25",0.2,0,1.5,0.15,1,8,25
"18","data/0.2-0-1.5-0.15/26",0.2,0,1.5,0.15,1,8,26
"19","data/0.2-0-1.5-0.2/37",0.2,0,1.5,0.2,1,8,37
"20","data/0.2-0-1.5-0.2/38",0.2,0,1.5,0.2,1,8,38
"21","data/0.2-0.1-0-0/3",0.2,0.1,0,0,1,8,3
"22","data/0.2-0.1-0-0/4",0.2,0.1,0,0,1,8,4
"23","data/0.2-0.1-0.5-0.1/7",0.2,0.1,0.5,0.1,1,8,7
"24","data/0.2-0.1-0.5-0.1/8",0.2,0.1,0.5,0.1,1,8,8
"25","data/0.2-0.1-0.5-0.15/19",0.2,0.1,0.5,0.15,1,8,19
"26","data/0.2-0.1-0.5-0.15/20",0.2,0.1,0.5,0.15,1,8,20
"27","data/0.2-0.1-0.5-0.2/31",0.2,0.1,0.5,0.2,1,8,31
"28","data/0.2-0.1-0.5-0.2/32",0.2,0.1,0.5,0.2,1,8,32
"29","data/0.2-0.1-1-0.1/11",0.2,0.1,1,0.1,1,8,11
"30","data/0.2-0.1-1-0.1/12",0.2,0.1,1,0.1,1,8,12
"31","data/0.2-0.1-1-0.15/23",0.2,0.1,1,0.15,1,8,23
"32","data/0.2-0.1-1-0.15/24",0.2,0.1,1,0.15,1,8,24
"33","data/0.2-0.1-1-0.2/35",0.2,0.1,1,0.2,1,8,35
"34","data/0.2-0.1-1-0.2/36",0.2,0.1,1,0.2,1,8,36
"35","data/0.2-0.1-1.5-0.1/15",0.2,0.1,1.5,0.1,1,8,15
"36","data/0.2-0.1-1.5-0.1/16",0.2,0.1,1.5,0.1,1,8,16
"37","data/0.2-0.1-1.5-0.15/27",0.2,0.1,1.5,0.15,1,8,27
"38","data/0.2-0.1-1.5-0.15/28",0.2,0.1,1.5,0.15,1,8,28
"39","data/0.2-0.1-1.5-0.2/39",0.2,0.1,1.5,0.2,1,8,39
"40","data/0.2-0.1-1.5-0.2/40",0.2,0.1,1.5,0.2,1,8,40
